DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MVRV,NUPL
2014-09-17,465.86,468.17,452.42,457.33,21056800.0,1.2912054206968342,0.2222
2014-09-18,456.86,456.86,413.1,424.44,34483200.0,1.2101544996568674,0.1701
2014-09-19,424.1,427.83,384.53,394.8,37919700.0,1.1195329537299663,0.1032
2014-09-20,394.67,423.3,389.88,408.9,36863600.0,1.1706765544476,0.1425
2014-09-21,408.08,412.43,393.18,398.82,26580100.0,1.141029252610101,0.1203
2014-09-22,399.1,406.92,397.13,402.15,24127600.0,1.1431872946656167,0.1219
2014-09-23,402.09,441.56,396.2,435.79,45099500.0,1.2503255124669914,0.1972
2014-09-24,435.75,436.11,421.13,423.2,30627700.0,1.208842881353538,0.1697
2014-09-25,423.16,423.52,409.47,411.57,26814400.0,1.1691408529303413,0.1415
2014-09-26,411.43,414.94,400.01,404.42,21460800.0,1.1586834431665436,0.1338
2014-09-27,403.56,406.62,397.37,399.52,15029300.0,1.145859941749748,0.1242
2014-09-28,399.47,401.02,374.33,377.18,23613300.0,1.0749482354885562,0.0663
2014-09-29,376.93,385.21,372.24,375.47,32497700.0,1.07060366592637,0.0627
2014-09-30,376.09,390.98,373.44,386.94,34707300.0,1.1178640743071582,0.1024
2014-10-01,387.43,391.38,380.78,383.61,26229400.0,1.1007328288554483,0.0885
2014-10-02,383.99,385.5,372.95,375.07,21777700.0,1.0717826554807217,0.064
2014-10-03,375.18,377.7,357.86,359.51,30901200.0,1.030821140942227,0.0286
2014-10-04,359.89,364.49,325.89,328.87,47236500.0,0.9495779691545256,-0.0543
2014-10-05,328.92,341.8,289.3,320.51,83308096.0,0.9329508855845566,-0.0733
2014-10-06,320.39,345.13,302.56,330.08,79011800.0,0.9518661627004754,-0.0517
2014-10-07,330.58,339.25,320.48,336.19,49199900.0,0.972700009795875,-0.0293
2014-10-08,336.12,354.36,327.19,352.94,54736300.0,1.033371073550929,0.031
2014-10-09,352.75,382.73,347.69,365.03,83641104.0,1.0557116651326997,0.0518
2014-10-10,364.69,375.07,352.96,361.56,43665700.0,1.0482928746354574,0.0453
2014-10-11,361.36,367.19,355.95,362.3,13345200.0,1.0572576118507742,0.0539
2014-10-12,362.61,379.43,356.14,378.55,17552800.0,1.1048443775739032,0.0941
2014-10-13,377.92,397.23,368.9,390.41,35221400.0,1.1443026593735488,0.1254
2014-10-14,391.69,411.7,391.32,400.87,38491500.0,1.169994710957003,0.1445
2014-10-15,400.95,402.23,388.77,394.77,25267100.0,1.1542396901366572,0.1328
2014-10-16,394.52,398.81,373.07,382.56,26990000.0,1.118368758947221,0.105
2014-10-17,382.76,385.48,375.39,383.76,13600700.0,1.1191936247215162,0.1057
2014-10-18,383.98,395.16,378.97,391.44,11416800.0,1.145585635310817,0.1263
2014-10-19,391.25,393.94,386.46,389.55,5914570.0,1.137949624299353,0.1204
2014-10-20,389.23,390.08,378.25,382.85,16419000.0,1.1164133451910883,0.1035
2014-10-21,382.42,392.65,380.83,386.48,14188900.0,1.1283788969021693,0.113
2014-10-22,386.12,388.58,382.25,383.16,11641300.0,1.1163502253690014,0.1031
2014-10-23,382.96,385.05,356.45,358.42,26456900.0,1.0488111363356079,0.0455
2014-10-24,358.59,364.35,353.3,358.35,15585700.0,1.050726092270454,0.0472
2014-10-25,358.61,359.86,342.88,347.27,18127500.0,1.0172658113481312,0.0159
2014-10-26,347.49,359.22,343.93,354.7,11272500.0,1.0389619988349572,0.0365
2014-10-27,354.78,358.63,349.81,352.99,13033000.0,1.0309677884494883,0.029
2014-10-28,353.21,359.98,352.68,357.62,7845880.0,1.0448739470444544,0.042
2014-10-29,357.09,357.83,335.34,335.59,18192700.0,0.9842775406035045,-0.0167
2014-10-30,335.71,350.91,335.07,345.3,30177900.0,1.0174855840354502,0.0165
2014-10-31,345.01,348.05,337.14,338.32,12545400.0,0.9974999369286891,-0.0033
2014-11-01,338.65,340.53,321.05,325.75,16677200.0,0.9603804113593986,-0.0421
2014-11-02,326.08,329.05,320.63,325.89,8603620.0,0.9604866839820451,-0.0419
2014-11-03,325.57,334.0,325.48,327.55,12948500.0,0.9647618439610738,-0.0373
2014-11-04,327.16,331.77,325.08,330.49,15655500.0,0.9785728634671595,-0.0224
2014-11-05,330.68,343.37,330.68,339.49,19817200.0,1.006060269188461,0.0056
2014-11-06,339.46,352.97,338.42,349.29,18797000.0,1.0381761140767551,0.0351
